snapshot_index,age_myr,phase,stored_index_outer_to_inner,radius_pc,temperature_K,nH_internal_pc_minus3,nH_cm_minus3,nH_T_K_cm_minus3,muH_over_mu_ion,P_total_over_kB_K_cm_minus3,scalar_Pb_over_kB_K_cm_minus3,scalar_PHII_over_kB_K_cm_minus3
154,0.17330160076943843,implicit,59,2.0521533269437953,2425901.3236404834,3.2411192260999935e+55,1.1031723583176896,2676187.284246477,2.2999999999999994,6155230.753766895,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,58,2.0824403904960658,2372213.023633494,3.3144727485853747e+55,1.1281395294539638,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,57,2.1127527522032823,2317280.941306187,3.3930436661860096e+55,1.1548825334652588,2676187.284246449,2.2999999999999994,6155230.753766831,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,56,2.14290872734936,2261268.1117481985,3.4770911860575137e+55,1.1834895960999054,2676187.2842464712,2.2999999999999994,6155230.753766882,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,55,2.172887649513708,2204036.527889611,3.5673798147987755e+55,1.214220930725204,2676187.284246471,2.2999999999999994,6155230.753766881,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,54,2.2028123829023043,2145137.7707544467,3.66532887904314e+55,1.2475596303100038,2676187.2842464433,2.2999999999999994,6155230.753766818,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,53,2.210004303340508,2130689.218928168,3.6901840732210293e+55,1.2560195360601112,2676187.284246438,2.2999999999999994,6155230.753766806,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,52,2.2324442372565185,2084802.2841862082,3.771405797236868e+55,1.2836647890047237,2676187.284246455,2.2999999999999994,6155230.753766845,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,51,2.2619058422409797,2022507.89510192,3.887567232599764e+55,1.3232023918065345,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,50,2.291108052032881,1958111.6872911558,4.015417236771464e+55,1.366718406113337,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,49,2.2998244555500094,1938312.1017698634,4.0564341591290496e+55,1.3806792424206762,2676187.284246444,2.2999999999999994,6155230.753766819,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,48,2.319969282027867,1891414.7424877363,4.1570128666392023e+55,1.4149129876858981,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,47,2.348415339225491,1822147.7749513893,4.3150371933375543e+55,1.4686993673264748,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,46,2.376256525962111,1750277.0624508678,4.4922233110126573e+55,1.5290078020556723,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,45,2.3896049645495028,1714139.698910548,4.586928023235114e+55,1.561242228942819,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,44,2.403501995290017,1675192.467753077,4.693571378827107e+55,1.597540184642799,2676187.284246477,2.2999999999999994,6155230.753766895,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,43,2.4298697830281912,1596998.9316342324,4.9233817662148e+55,1.675760222023356,2676187.284246444,2.2999999999999994,6155230.753766819,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,42,2.4551077040009215,1515760.582776618,5.18725418117778e+55,1.7655738740376228,2676187.284246438,2.2999999999999994,6155230.753766806,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,41,2.478935182701057,1431709.4668438437,5.491781400318259e+55,1.869225109020228,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
