snapshot_index,age_myr,phase,r_bubble_pc,r_shell_pc,r_if_pc,P_HII_code_Msun_per_pc_Myr2,P_HII_over_kB_K_cm3,Pb_over_kB_K_cm3,P_ram_over_kB_K_cm3,P_drive_over_kB_K_cm3
144,0.08652611592019335,implicit,1.803259496987805,2.074787370647538,2.072202956045409,2551.553196581803,11958281.581481522,11958281.581481522,0.0,11958281.581481522
145,0.09282074297916419,implicit,1.8727106965809481,2.164209717370103,2.161320385713633,2369.8489267337545,11106694.075365106,11106694.075365106,0.0,11106694.075365106
146,0.10074520894146977,implicit,1.9569340354599556,2.2632011655830215,2.2599024960187526,2225.2209679288517,10428870.913276669,10428870.913276667,0.0,10428870.913276669
147,0.1070398360004406,implicit,2.021574177596734,2.344319703477841,2.3406668446437253,2100.20189767798,9842948.092965595,9842948.092965595,0.0,9842948.092965595
148,0.11496430196274618,implicit,2.1003927128135067,2.4442135344842977,2.4401235073647976,1960.603337009193,9188696.047943274,9188696.047943272,0.0,9188696.047943274
149,0.12494061353759059,implicit,2.1960037175055818,2.5656861191397318,2.5609857497559627,1809.8214228341594,8482031.342886232,8482031.342886232,0.0,8482031.342886232
150,0.13286507949989615,implicit,2.269374241060332,2.6710337158419946,2.6658387803265504,1671.275493695323,7832712.631902784,7832712.631902782,0.0,7832712.631902784
151,0.14284139107474056,implicit,2.358710115750374,2.7780142099700664,2.7721948714609583,1581.7722198153292,7413240.5421359455,7413240.5421359455,0.0,7413240.5421359455
152,0.15076585703704612,implicit,2.4274843372538926,2.8519055929953567,2.8456476666754953,1539.279776564826,7214092.58701772,7214092.58701772,0.0,7214092.58701772
153,0.16074216861189053,implicit,2.5116319054077256,2.951111406775012,2.9442027699918816,1469.5408029566158,6887249.202083515,6887249.202083515,0.0,6887249.202083515
154,0.17330160076943843,implicit,2.6142057870294075,3.1105189528086803,3.102657833210332,1313.3491295098504,6155230.753766852,6155230.753766852,0.0,6155230.753766852
155,0.18327791234428284,implicit,2.6931913489218404,3.2538575639583316,3.2451863678531057,1180.7792096911526,5533919.611772956,5533919.611772955,0.0,5533919.611772956
156,0.18527791234428284,transition,2.7087669157457546,3.422364608350548,3.413226920936977,983.2878340742802,4608343.189261172,4608343.189261171,563101.5674622286,5171444.7567234
157,0.18779576316787117,transition,2.7282412588510354,3.674342811205386,3.6648387511266574,785.4369107492182,3681081.686170911,3681081.68617091,555462.7949683642,4236544.481139275
158,0.1909655495527934,transition,2.7524989331936065,4.056277110225173,4.046697878742517,598.5189001117282,2805059.1102560204,2805059.1102560204,546177.0567239996,3351236.16698002
159,0.19348340037638173,transition,2.771533280842719,4.410127413615577,4.400797426714178,487.4676139360705,2284598.6503866212,2284598.6503866212,539063.8906638501,2823662.5410504714
160,0.19665318676130397,transition,2.7951695702233135,4.910981695690257,4.902298278697645,382.607524854958,1793154.273067335,1793154.2730673347,530436.5046816018,2323590.777748937
161,0.1991710375848923,transition,2.8136757639958865,5.3442097624492195,5.336258941139567,320.3476434969751,1501362.9071237235,1501362.9071237235,523836.0342481048,2025198.9413718286
162,0.20234082396981454,transition,2.83662566697633,5.917159741933827,5.910243490127004,261.5521400758539,1225807.9288553386,1225807.9288553384,515833.3106559923,1741641.2395113308
163,0.20485867479340286,transition,2.854579250913966,6.3792925837077235,6.37323350479255,226.57958989573547,1061903.2126077577,1061903.2126077574,509709.80286671343,1571613.015474471
164,0.2080284611783251,transition,2.8768353833137645,6.9505595151935395,6.945590581910718,193.40047515370665,906403.7320400027,906403.7320400027,502280.6939136268,1408684.4259536294
165,0.21054631200191343,transition,2.8942441005300745,7.3844150599384575,7.380244100530685,173.50443255193102,813157.5947037641,813157.5947037641,496591.06110089715,1309748.6558046613
166,0.21371609838683567,transition,2.915827482383169,7.891985497427168,7.888827482383943,154.4054541877537,723647.0324691924,723647.0324691923,489680.70544577186,1213327.7379149643
167,0.216233949210424,transition,2.932714287967965,8.256714287968855,8.256714287968855,142.77483576968453,669138.1904837076,669138.1904837075,484382.1521894514,1153520.342673159
168,0.21940373559534623,transition,2.953658111013739,8.675439319122766,8.673658111014761,131.40564298384157,615854.5635268437,615854.5635268436,477938.98490367306,1093793.5484305169
169,0.22192158641893456,transition,2.970051412363672,8.968051412364787,8.968051412364787,124.33656962097402,582724.1667526095,582724.1667526095,472992.48796504684,1055716.6547176563
170,0.2250913728038568,transition,2.9903931953184055,9.295393195319349,9.295393195319349,117.27044338375504,549607.5821765333,549607.5821765333,466969.66336286766,1016577.2455394008
